Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,class,type,vertices,IBEA_IGD,SPEA2_IGD,MOEAD_IGD
160,0.1956,0.0572069926,0.4091199834,2.6005641002,-0.2646967521,0.1676,0.034441835,0.0440054858,2.8639534243,0.1506439559,0.6368,0.0655878037,0.3218261898,2.4082429466,-0.0111657426,0.1496,0.0284928061,0.2112669394,2.8766149828,-0.7481422909,2,0,100,0.0410235,0.0489135,0.040282
161,0.2856,0.0408979217,0.1458643566,2.0824045206,-0.0157288017,0.1432,0.028944084,0.0821270925,2.6492273623,-0.1614661984,0.5712,0.0397310961,0.0865919745,2.7269155107,-0.0887233518,0.1568,0.0448749373,0.0332957485,2.1564748277,0.0726464118,2,0,100,0.0374295,0.054187,0.0460185
162,0.2788,0.0398316457,0.0689628363,2.4681795822,-0.5836930664,0.1392,0.0303209499,0.0869613823,2.5374180001,0.127959278,0.582,0.0372021505,-0.5196735291,2.0055297538,0.25264249,0.1336,0.0262114479,0.0474979754,3.1200282931,0.7515035909,2,0,100,0.0487255,0.0628375,0.053853
163,0.366,0.038574603,0.4750943856,3.0378945543,0.275962951,0.132,0.0248193473,0.3486208043,3.3050261427,0.8068694874,0.502,0.032,0.1744987469,3.0853881836,-0.5991210937,0.1532,0.0242849748,0.1585169338,3.4271985419,0.5128738087,2,0,200,0.0560969999999999,0.065498,0.0620975
164,0.8229014845,0.0376068494,0.1603437187,1.6593420794,0.0957444815,0.0345479082,0.0271466471,0.056660445,1.7845555026,0.3513724237,0.1425506073,0.0331381897,0.4062692226,1.2478461502,-0.1615776984,0.1233873144,0.027834956,0.0338679438,2.8662393911,-1.175144837,2,0,200,0.048499,0.0599404999999999,0.057142
165,0.4152,0.0871834847,0.7825148636,1.8988636992,0.0986971022,0.1164,0.0349719888,0.5195821872,1.6810551899,0.1556033394,0.4684,0.0651570411,0.6630521216,2.1228713617,0.2422895426,0.116,0.0191833261,0.0746753247,2.1758034026,0.3739660687,2,0,200,0.042422,0.0533155,0.047839
166,0.3372,0.0552463573,0.6740618945,2.6225336484,-0.5568704894,0.138,0.0393954312,0.6608705044,2.4823041769,0.5691695642,0.5248,0.0309993548,0.1840210801,2.0863846443,-0.290992489,0.1276,0.032530601,0.4708554629,2.2255976889,-0.1059354712,2,0,200,0.0402675,0.051429,0.0452435
167,0.352,0.0647456562,0.0189240997,5.4751107162,1.3882861249,0.142,0.0284253408,0.3942443148,1.8765317126,-0.1922702201,0.506,0.0547722558,-0.0072774456,3.8910186667,-0.9368246624,0.1684,0.0298904667,0.204369202,2.1219400651,0.0019699432,2,0,200,0.0368815,0.048972,0.045011
168,0.3616,0.0919860859,0.7627968979,2.3139931844,0.1311787665,0.1268,0.0255687309,0.4372232749,2.1178031357,-0.0868121673,0.5116,0.0775979381,0.7425636409,2.2479220633,-0.0014275144,0.1264,0.0248,0.7242915571,2.0545344935,-0.0256285455,2,0,200,0.0345035,0.0387815,0.035767
169,0.2748,0.1376697498,0.7941668775,2.070736194,-0.1485152154,0.206,0.105033328,0.7906686409,1.6762719672,0.2458972942,0.5192,0.0663276715,0.2998108005,2.7445172918,-0.0298870623,0.1244,0.0274342851,0.7321718666,1.8007883,-0.1152661673,3,1,5,0.02619,0.02619,0.02619
170,0.4236,0.0368651597,0.0986137508,3.0917285399,0.1587927588,0.1424,0.0186075254,0.2736031916,3.1794026602,0.6539599691,0.434,0.034525353,-0.097359736,2.7026935724,-0.100305629,0.1092,0.0224356859,0.3351154512,2.5789114948,0.2699472918,3,1,5,0.0,0.0,0.0
171,0.2992,0.0548394019,0.293872379,2.3297278344,-0.6508648862,0.1388,0.032780482,0.2778769772,1.9629022778,-0.0366180508,0.562,0.048908077,0.1764745444,2.8195601839,0.676991816,0.1552,0.0331203865,0.4392666337,3.7661267154,-0.3680854348,3,1,5,0.0,0.0,2.15e-05
172,0.3532,0.0490485474,0.389693909,3.5642205979,-0.400749588,0.1012,0.0255060777,0.1358262657,2.7237002397,0.6180986813,0.5456,0.0436421814,-0.0519360869,2.820092748,-0.1955371862,0.1524,0.0264242313,-0.0472896455,2.6188150109,-0.7415075565,3,1,5,0.00937,0.00937,0.00937
