Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,class,type,vertices,IBEA_HV,SPEA2_HV,MOEAD_HV
11,0.4725274725,0.1012142995,0.1038514443,1.9921774786,0.1078607108,0.068040293,0.0402166901,-0.7201245106,2.2008290685,-1.0051664261,0.4594322344,0.0682186492,0.2073540114,1.9747423792,0.5672624377,0.2768315018,0.0679328571,-1.0839333421,2.0326184376,0.3854281312,1,1,8,-0.855200685915,-0.84334081333,-0.8425687089249999
12,0.6010119048,0.0254151332,-0.3894876495,1.9569662563,-0.7509556437,0.0823809524,0.0550139129,0.49239098,1.6784684943,-0.4332501067,0.3166071429,0.04966166,-0.0933939124,2.0427733163,-0.571798657,0.284702381,0.073136016,0.3036649481,1.3535035187,-0.0477104022,1,1,8,-0.78064898147,-0.83954993176,-0.8429114419399999
13,0.3113786214,0.120089662,0.4669287554,1.9563551703,-0.6309582413,0.1640445269,0.0564237915,0.6469597337,1.2716094401,-0.1055628142,0.5245768517,0.0759752322,0.1463852501,2.991608319,1.3295240531,0.1458627087,0.0457552461,-0.0845579433,2.584830214,1.0308327277,1,1,10,-0.81292372814,-0.8435807430300001,-0.843804211205
14,0.6509259259,0.072660116,-0.1116014235,1.5,0.4897893905,0.0462962963,0.0363831161,-0.0075046904,1.5,-0.1516410851,0.3027777778,0.037474271,-0.3459459459,1.5,-0.6809718997,0.1592592593,0.04287347,-0.9110320285,1.5,-0.567316578,1,1,10,-0.8995262120699999,-0.870252273205,-0.87448808933
15,0.5494713214,0.0899692224,-0.1060012333,1.5,-0.6088323286,0.0650953984,0.0498902599,-0.0249609984,1.5,-0.2641238229,0.3854332802,0.0509258055,-0.3623603984,1.5,0.463809136,0.2100537539,0.0375754486,-0.4368500832,1.5,0.7028509664,1,1,10,-0.8341680580349999,-0.883145719675,-0.8937313512999999
16,0.5869825708,0.0699448628,-0.1305895108,1.5,-0.6547253394,0.0851851852,0.0643635081,-0.0424403183,1.5,-0.3330665464,0.327832244,0.0373732815,-0.7840957482,1.5,-0.7045125225,0.1761982571,0.0717819878,-0.00018832,1.5,0.0250348559,1,1,10,-0.91009308044,-0.89481076328,-0.90014748544
17,0.5209619745,0.0720669225,0.3039128127,2.2744035453,-0.2358425287,0.1434249084,0.0207566379,0.3139634497,1.3438396796,0.3884609874,0.335613117,0.0577397589,0.0254328749,2.0445922191,0.0603422147,0.1379321472,0.0253910506,0.5705051925,1.7810518472,0.0784707013,1,1,10,-0.922143150785,-0.94980149664,-0.95763748021
18,0.4545613117,0.0970385852,0.5675593183,1.5728937608,-0.3166545355,0.0986551544,0.0816908636,0.2934914206,2.5573935279,1.0319982331,0.4467835339,0.0350854195,0.1902647135,1.7733420815,0.2081826574,0.199897087,0.0469526715,0.0496786596,2.7902210556,1.1275314932,1,1,10,-0.8746622492249999,-0.8681950274349999,-0.87228294636
19,0.8677387914,0.0240955701,-0.0626617701,1.5,0.3917770157,0.0419103314,0.0302301412,-0.1890067502,1.5,-0.5851024021,0.0903508772,0.0070539989,-0.8767123288,1.5,0.5076720034,0.084502924,0.0122038811,-0.0066197766,1.5,0.1428761421,1,1,20,-0.74886535544,-0.75699315611,-0.7864238003849999
20,0.8082191781,0.0,0.0,0.0,0.0,0.0068493151,0.0068493151,-1.0,1.0,0.0,0.1849315068,0.0068493151,-1.0,1.0,0.0,0.1164383562,0.0068493151,-1.0,1.0,0.0,1,1,20,-0.7693178964999999,-0.7837758787,-0.814909627325
21,0.5726292753,0.0382663424,0.6683268386,2.1610032967,0.2075981779,0.0777928385,0.0227175049,0.6711252534,1.9902710348,-0.1866984622,0.3495778862,0.03242112,0.4098637537,3.8338896701,1.4621779939,0.0444687417,0.0131446616,0.2518497121,2.9185956852,-0.6489773633,1,1,20,-0.74889904875,-0.7619802822899999,-0.79402493736
22,0.6330014225,0.0273762306,0.4271071988,1.5776887922,-0.1923081683,0.0280346136,0.0247985139,0.1582159339,2.0309770656,0.6326969852,0.338963964,0.0073845028,-0.2789115646,2.1487290427,0.9575491626,0.1178237955,0.0240453172,-0.8165191243,1.880301119,0.3344287972,1,1,20,-0.77490415751,-0.79991707355,-0.82360042296
23,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,1,1,20,-0.7858303956849999,-0.800286015235,-0.837772426425
