Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,class,type,vertices,IBEA_HV,SPEA2_HV,MOEAD_HV
320,0.446842042,0.0995050485,0.5602576843,2.9326965784,0.9276162991,0.1413249249,0.0516269061,0.6348112289,2.8803630505,0.4644991671,0.411833033,0.0749115434,0.3329191879,2.2653665041,-0.4222574224,0.1027543544,0.0201614394,0.390030676,2.5404597056,0.462519546,1,0,50,-0.63792750762,-0.6490498996,-0.69562447823
321,0.4024,0.0933929334,0.8345636694,2.1300073574,-0.4330172678,0.1456,0.0535223318,0.6414368715,1.7114407986,0.4024102639,0.452,0.0564269439,0.7718440886,2.3762720638,0.5466222156,0.1184,0.0298904667,0.6518069794,2.4663799712,0.0379178117,1,0,50,-0.64465137433,-0.64105291581,-0.682321379375
322,0.4828,0.0808712557,0.4158648353,2.8562186113,0.3095430402,0.0916,0.0364065928,0.2361142043,3.8836774934,0.7616615705,0.4256,0.0594696561,0.3766278899,3.0512633644,-0.5088900775,0.1048,0.0211886762,0.3279335138,2.662726852,-0.2371120867,1,0,50,-0.61064759776,-0.65984516516,-0.70318689228
323,0.1524,0.0888720428,0.5643591912,1.5495678944,-0.0967630511,0.136,0.0287054002,0.5864962046,2.1293712885,-0.0223225141,0.7116,0.0834112702,0.6142268456,1.6583277578,0.1230340089,0.1636,0.030968371,0.5271282665,3.0830976121,0.1224149309,1,0,50,-0.631503887885,-0.663963838875,-0.7038305248900001
324,0.3852,0.1295259047,0.9470971858,1.7366756328,-0.3778195786,0.1272,0.0437739649,0.7493184738,2.1223961785,0.4148612148,0.4876,0.1005297966,0.9293496006,2.0136828946,0.3799084788,0.1288,0.0371289644,0.5701557486,2.2931580295,0.6573189261,1,0,50,-0.6407432710300001,-0.651837856405,-0.6857116142749999
325,0.268,0.0458693798,0.1020510255,2.4187641863,-0.2218234691,0.132,0.0354400903,0.3806708826,3.1626232302,0.0614655304,0.6,0.0407921561,-0.1747572816,3.1406018861,-0.0035357476,0.1276,0.0247030363,0.2658772618,1.9196217452,0.1490935108,1,0,100,-0.55259850399,-0.578890211435,-0.61487613946
326,0.2692,0.0418492533,0.002023136,2.6819615848,0.1577743976,0.1588,0.0332649966,0.4081026749,2.7800835507,-0.0514716296,0.572,0.0501198563,0.2757310537,1.8915473244,-0.1372506107,0.134,0.0291204396,-0.0753398792,2.2814168743,0.0874701704,1,0,100,-0.550770782775,-0.563836626205,-0.5961846021299999
327,0.2468,0.0436091733,0.4151543094,3.0497906538,-0.6399090826,0.1484,0.0339033922,0.2195071105,2.6554120205,0.3962392006,0.6048,0.0457051419,0.1810251018,2.7520530903,-0.3514133504,0.1064,0.0317338936,-0.0840308604,4.1162505002,0.6234158674,1,0,100,-0.550313971385,-0.560850945175,-0.59504438393
328,0.2784,0.0431444087,-0.1285572388,3.1979055981,-0.3120503648,0.152,0.0425205833,0.2045128597,3.9324731772,0.598148623,0.5696,0.0433109686,0.3410230415,2.6682623926,-0.5783647936,0.1764,0.0281254333,-0.1346003071,1.8295766959,0.2188876739,1,0,100,-0.55734155592,-0.56708681018,-0.595054952835
329,0.2648,0.0410969585,-0.0492348989,2.3204890685,0.2012413024,0.1376,0.0307610143,0.3001713725,2.4725970794,-0.2024663079,0.5976,0.0386036268,0.0755184742,4.4523263218,-0.8645506505,0.152,0.0271293199,-0.0263100674,2.6208648393,0.3293404564,1,0,100,-0.5689020743150001,-0.57982490448,-0.60699491965
330,0.324,0.0469893605,0.182562331,4.6651701323,0.268330863,0.1512,0.0388144303,0.4833493687,2.3268032359,-0.1974364023,0.5248,0.0523923659,0.4845442773,2.8891033855,0.6472344142,0.1396,0.0280684877,0.2377530104,3.1753024527,-0.3606184538,1,0,100,-0.545975467735,-0.55408666883,-0.588276354445
331,0.4194444444,0.0741666089,0.4122574055,1.4090240033,-0.2222675385,0.0933732752,0.0341616708,0.3817796807,2.1153019268,-0.3278222945,0.4871822803,0.0579419389,0.0551801522,1.4884898815,0.2091620333,0.1752360203,0.0289215287,0.2190543534,3.1849398452,0.4124995174,1,0,200,-0.48112767563,-0.4913031692699999,-0.500635202185
332,0.2300082271,0.0733951605,0.6813092457,1.5541249806,0.4436210821,0.1363133598,0.0545388293,0.3463507689,2.0402184946,0.4231028521,0.6336784131,0.0674749175,0.283045553,3.4214327576,0.8135543749,0.2388904124,0.02917078,-0.2749979189,1.9551971407,-0.4491493962,1,0,200,-0.506374683475,-0.517561524115,-0.53345146586
333,0.2905768575,0.1139860963,0.0070818643,2.0893596052,-0.4744880241,0.2066188869,0.0659137606,0.1256693276,1.2169989585,0.1256015966,0.5028042556,0.0664991175,-0.1746446609,2.4052929771,0.5200610817,0.183266355,0.0179786845,0.1216490014,1.464251015,-0.129627104,1,0,200,-0.48860618191,-0.4966151138,-0.5112910508999999
