Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,class,type,vertices,IBEA_IGD,SPEA2_IGD,MOEAD_IGD
17,0.5844931774,0.1109099972,0.6487806302,2.9599269587,1.3058222219,0.0980426557,0.0643363334,0.8082865522,1.6553271918,-0.3088014453,0.317464167,0.0621080946,-0.5325096991,2.7549274465,-1.1183864193,0.1723850476,0.0252314955,-0.6654084788,1.2242055555,0.3753725009,1,1,10,0.0482024999999999,0.041137,0.0322775
18,0.5543391431,0.132245073,0.6630876649,1.4624747909,0.0602103789,0.0975490196,0.0764925811,0.477741575,1.8732479709,0.3387405717,0.3481118373,0.058950402,0.8146962288,1.4091379933,-0.2737075863,0.1828703704,0.0288629529,-0.2004457786,1.4548068454,-0.0983609722,1,1,10,0.0465094999999999,0.0569799999999999,0.0521655
19,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,1,1,20,0.0457685,0.046836,0.0328915
20,0.82,0.06,-1.0,1.0,-0.0,0.01,0.01,-1.0,1.0,0.0,0.17,0.05,-1.0,1.0,0.0,0.09,0.01,-1.0,1.0,0.0,1,1,20,0.0609195,0.0542075,0.0399075
21,0.5800394477,0.1338904249,0.9024583577,2.0796542629,0.8511199839,0.1092307692,0.066385997,0.7856509262,3.0354705622,0.3373867028,0.310729783,0.0907348939,0.4857940863,1.7571989024,-0.2145417527,0.130729783,0.0288791345,-0.5644392088,1.840222188,0.5284132191,1,1,20,0.053605,0.04952,0.0376375
22,0.7282051282,0.0507666407,-0.5,1.5,0.7071067812,0.0256410256,0.0209358098,0.0,1.5,-0.0,0.2461538462,0.0342733977,-0.9245283019,1.5,-0.422080443,0.1863247863,0.0230610899,-0.2510373444,1.5,-0.6809718997,1,1,20,0.0614185,0.0486535,0.0381055
23,0.5514285714,0.1140712273,0.5895334174,2.8291971619,0.7132268877,0.0971428571,0.0976457571,0.6160968661,2.1869692954,0.815730701,0.3514285714,0.0674914961,-0.317877095,2.5681388985,-0.6541189337,0.1828571429,0.0458925097,-0.2347083926,2.225076618,-0.3170777781,1,1,20,0.063417,0.055839,0.040537
24,0.504,0.0838093074,0.4539587987,1.8487191328,-0.0998035297,0.072,0.0491528229,0.523608769,2.9843866497,0.6273177258,0.424,0.0488262225,0.1134989926,2.5695689383,0.1797911664,0.162,0.0362767143,0.6073745306,2.0045731285,-0.2493498345,1,1,20,0.068004,0.055907,0.0394445
25,0.4083333333,0.0767933736,0.6406550559,1.7521195865,0.0603356803,0.08,0.0642910051,0.6759259259,2.7284079084,0.8579939023,0.5116666667,0.0512889418,0.2882822263,2.6897734077,0.9413782626,0.1733333333,0.0410960934,-0.1393728223,2.9210526316,0.2219872079,1,1,50,0.0515355,0.0554309999999999,0.0427585
26,0.72,0.0,0.0,0.0,0.0,0.01,0.01,-1.0,1.0,0.0,0.27,0.01,-1.0,1.0,0.0,0.17,0.07,-1.0,1.0,0.0,1,1,50,0.0498334999999999,0.052097,0.04009
